Pathway_status_gpe2stn_ass_right.json_activated,Pathway_status_gpe2stn_ass_right.json_activated_rel_error,Pathway_status_M1_cf_upperex_right.json_activated,Pathway_status_M1_cf_upperex_right.json_activated_rel_error,Pathway_status_R_M1_hdp_face_right.json_activated,Pathway_status_R_M1_hdp_face_right.json_activated_rel_error,Pathway_status_R_M1_hdp_lowerex_right.json_activated,Pathway_status_R_M1_hdp_lowerex_right.json_activated_rel_error,Pathway_status_M1_cf_lowerex_right.json_activated,Pathway_status_M1_cf_lowerex_right.json_activated_rel_error,Pathway_status_gpe2stn_sm_right.json_activated,Pathway_status_gpe2stn_sm_right.json_activated_rel_error,Pathway_status_cerebellothalamic_right.json_activated,Pathway_status_cerebellothalamic_right.json_activated_rel_error,Pathway_status_medial_lemniscus_right.json_activated,Pathway_status_medial_lemniscus_right.json_activated_rel_error,Pathway_status_M1_cf_face_right.json_activated,Pathway_status_M1_cf_face_right.json_activated_rel_error,Pathway_status_R_M1_hdp_upperex_right.json_activated,Pathway_status_R_M1_hdp_upperex_right.json_activated_rel_error,roman,study_name,time,dofs,best_time,best_dofs,Pathway_status_gpe2stn_ass_right.json_activated_best,Pathway_status_M1_cf_upperex_right.json_activated_best,Pathway_status_R_M1_hdp_face_right.json_activated_best,Pathway_status_R_M1_hdp_lowerex_right.json_activated_best,Pathway_status_M1_cf_lowerex_right.json_activated_best,Pathway_status_gpe2stn_sm_right.json_activated_best,Pathway_status_cerebellothalamic_right.json_activated_best,Pathway_status_medial_lemniscus_right.json_activated_best,Pathway_status_M1_cf_face_right.json_activated_best,Pathway_status_R_M1_hdp_upperex_right.json_activated_best
9.2,0.8000000000000007,40.8,6.800000000000004,61.0,0.0,50.0,1.0,19.2,0.8000000000000007,47.2,0.4000000000000057,12.0,0.8000000000000007,0.0,0.0,0.0,0.0,62.0,1.0,\rom{1},default,2.270447015762329,47362,17005.989100694656,25207883,10.0,47.6,61.0,51.0,20.0,46.8,12.8,0.0,0.0,61.0
8.8,1.1999999999999993,40.4,7.200000000000003,60.0,1.0,50.0,1.0,18.8,1.1999999999999993,47.2,0.4000000000000057,10.4,2.4000000000000004,0.0,0.0,0.0,0.0,63.0,2.0,\rom{2},default_meshsize,27.725247859954834,557789,17005.989100694656,25207883,10.0,47.6,61.0,51.0,20.0,46.8,12.8,0.0,0.0,61.0
9.6,0.40000000000000036,43.6,4.0,61.0,0.0,50.0,1.0,19.2,0.8000000000000007,46.8,0.0,11.2,1.6000000000000014,0.0,0.0,0.0,0.0,61.0,0.0,\rom{3},fine,6.464093208312988,177423,17005.989100694656,25207883,10.0,47.6,61.0,51.0,20.0,46.8,12.8,0.0,0.0,61.0
10.0,0.0,46.4,1.2000000000000028,61.0,0.0,50.0,1.0,20.0,0.0,46.4,0.3999999999999986,12.0,0.8000000000000007,0.0,0.0,0.0,0.0,61.0,0.0,\rom{4},very_fine,39.928831815719604,828706,17005.989100694656,25207883,10.0,47.6,61.0,51.0,20.0,46.8,12.8,0.0,0.0,61.0
9.2,0.8000000000000007,42.8,4.800000000000004,61.0,0.0,50.0,1.0,19.2,0.8000000000000007,47.2,0.4000000000000057,10.4,2.4000000000000004,0.0,0.0,0.0,0.0,62.0,1.0,\rom{5},edge_refinement,2.268785238265991,48095,17005.989100694656,25207883,10.0,47.6,61.0,51.0,20.0,46.8,12.8,0.0,0.0,61.0
9.2,0.8000000000000007,42.4,5.200000000000003,60.0,1.0,50.0,1.0,19.2,0.8000000000000007,47.2,0.4000000000000057,11.2,1.6000000000000014,0.0,0.0,0.0,0.0,62.0,1.0,\rom{6},fine_edge_refinement,2.6595609188079834,56269,17005.989100694656,25207883,10.0,47.6,61.0,51.0,20.0,46.8,12.8,0.0,0.0,61.0
9.6,0.40000000000000036,42.8,4.800000000000004,61.0,0.0,49.0,2.0,19.6,0.3999999999999986,47.2,0.4000000000000057,11.2,1.6000000000000014,0.0,0.0,0.0,0.0,62.0,1.0,\rom{7},very_fine_edge_refinement,24.995741844177246,438063,17005.989100694656,25207883,10.0,47.6,61.0,51.0,20.0,46.8,12.8,0.0,0.0,61.0
9.6,0.40000000000000036,45.2,2.3999999999999986,61.0,0.0,50.0,1.0,19.2,0.8000000000000007,47.2,0.4000000000000057,10.4,2.4000000000000004,0.0,0.0,0.0,0.0,62.0,1.0,\rom{8},edge_voxel_refinement,2.7112607955932617,61207,17005.989100694656,25207883,10.0,47.6,61.0,51.0,20.0,46.8,12.8,0.0,0.0,61.0
9.2,0.8000000000000007,42.8,4.800000000000004,60.0,1.0,50.0,1.0,19.2,0.8000000000000007,47.2,0.4000000000000057,11.2,1.6000000000000014,0.0,0.0,0.0,0.0,62.0,1.0,\rom{9},edge_meshsize,346.21155190467834,2973062,17005.989100694656,25207883,10.0,47.6,61.0,51.0,20.0,46.8,12.8,0.0,0.0,61.0
10.0,0.0,46.4,1.2000000000000028,61.0,0.0,50.0,1.0,20.0,0.0,46.4,0.3999999999999986,12.0,0.8000000000000007,0.0,0.0,0.0,0.0,61.0,0.0,\rom{10},material_refinement,675.2440671920776,4690574,17005.989100694656,25207883,10.0,47.6,61.0,51.0,20.0,46.8,12.8,0.0,0.0,61.0
