M1_cf_face_right,M1_cf_lowerex_right,M1_cf_upperex_right,R_M1_hdp_face_right,R_M1_hdp_lowerex_right,R_M1_hdp_upperex_right,cerebellothalamic_right,gpe2stn_ass_right,gpe2stn_sm_right,medial_lemniscus_right
0.0,13.6,4.4,8.0,7.0,10.0,0.0,0.0,6.0,0.0
9.2,80.0,75.2,33.0,35.0,35.0,12.0,9.6,23.6,0.0
43.6,98.4,96.4,52.0,54.0,58.0,44.0,21.2,39.6,0.0
0.0,6.0,29.6,29.0,23.0,23.0,0.0,6.4,17.2,0.0
28.4,56.0,90.4,54.0,58.0,55.0,15.2,22.0,37.2,0.0
61.2,89.6,98.4,70.0,68.0,73.0,60.8,36.4,56.0,0.0
0.0,0.0,0.0,26.0,38.0,30.0,28.8,2.0,22.8,0.0
0.0,7.6,3.2,60.0,59.0,69.0,79.2,16.8,52.0,0.0
0.4,42.8,44.0,74.0,64.0,76.0,90.4,32.4,66.8,0.0
0.0,27.2,8.8,30.0,43.0,36.0,0.0,0.0,18.4,0.0
0.4,87.6,73.2,59.0,58.0,66.0,21.6,3.2,44.8,0.0
10.8,99.2,95.6,69.0,63.0,71.0,56.8,16.0,60.4,0.0
1.6,0.8,46.8,52.0,49.0,48.0,0.0,6.4,36.8,0.0
49.6,30.4,95.2,77.0,68.0,71.0,17.6,22.8,51.6,0.0
86.4,73.2,99.2,80.0,73.0,80.0,68.0,32.4,57.6,0.0
0.0,0.0,0.0,45.0,53.0,50.0,44.8,2.4,32.0,0.0
0.0,4.8,26.4,67.0,68.0,72.0,92.0,15.6,58.0,0.0
19.2,28.8,70.4,77.0,72.0,80.0,98.4,26.0,65.6,0.0
0.0,18.8,29.6,53.0,63.0,60.0,0.0,0.0,32.8,0.0
5.6,77.2,90.0,64.0,73.0,75.0,31.2,4.4,58.0,0.0
34.4,96.0,98.8,70.0,74.0,77.0,76.8,12.8,66.8,0.0
0.0,0.8,41.2,63.0,46.0,67.0,4.8,2.0,42.0,0.0
32.4,32.0,94.0,71.0,69.0,79.0,29.6,8.8,56.0,0.0
77.2,76.0,98.8,75.0,72.0,82.0,84.8,14.4,65.2,0.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0
42.0,76.8,91.2,2.0,1.0,3.0,0.0,0.0,1.2,0.0
89.2,98.0,97.6,3.0,2.0,5.0,0.0,0.0,3.2,0.0
