M1_cf_face_right,M1_cf_lowerex_right,M1_cf_upperex_right,R_M1_hdp_face_right,R_M1_hdp_lowerex_right,R_M1_hdp_upperex_right,cerebellothalamic_right,gpe2stn_ass_right,gpe2stn_sm_right,medial_lemniscus_right
0.0,11.6,3.2,8.0,7.0,10.0,0.0,0.0,6.0,0.0
10.0,79.2,74.8,34.0,35.0,36.0,12.8,9.6,23.6,0.0
40.4,98.4,95.2,51.0,54.0,57.0,44.0,20.4,40.0,0.0
0.0,5.2,26.8,29.0,23.0,23.0,0.0,6.0,18.0,0.0
22.0,54.8,90.0,55.0,58.0,55.0,15.2,22.4,38.0,0.0
55.6,88.8,98.8,69.0,68.0,72.0,61.6,35.6,56.8,0.0
0.0,0.0,0.0,27.0,37.0,30.0,24.0,2.0,22.4,0.0
0.0,10.4,4.8,60.0,59.0,68.0,78.4,16.8,52.8,0.0
0.8,46.0,48.0,73.0,65.0,76.0,88.8,32.0,66.4,0.0
0.0,24.0,6.8,30.0,42.0,37.0,0.0,0.0,18.0,0.0
0.4,84.4,70.0,59.0,58.0,66.0,20.0,3.6,45.6,0.0
8.8,98.0,95.2,69.0,63.0,71.0,57.6,16.8,61.6,0.0
1.2,0.8,42.0,51.0,50.0,48.0,0.0,6.0,36.8,0.0
42.8,26.8,92.4,76.0,68.0,72.0,18.4,19.6,52.0,0.0
83.2,67.2,98.8,80.0,73.0,80.0,67.2,32.0,58.4,0.0
0.0,0.0,0.0,44.0,54.0,50.0,40.0,2.4,32.8,0.0
0.0,4.8,27.6,67.0,68.0,72.0,91.2,15.6,58.0,0.0
18.4,30.8,71.2,77.0,72.0,80.0,98.4,25.2,65.6,0.0
0.0,15.2,26.0,52.0,62.0,60.0,0.0,0.0,34.0,0.0
5.6,73.2,88.4,64.0,73.0,75.0,31.2,4.4,58.4,0.0
34.0,94.4,98.4,70.0,74.0,77.0,75.2,13.6,67.6,0.0
0.0,0.8,37.6,63.0,46.0,66.0,4.0,1.6,41.6,0.0
34.0,30.4,92.8,71.0,69.0,79.0,30.4,7.6,56.0,0.0
73.6,74.4,98.8,75.0,72.0,82.0,83.2,14.4,64.8,0.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0,77.2,91.2,2.0,1.0,3.0,0.0,0.0,1.6,0.0
86.8,96.8,97.6,3.0,2.0,6.0,0.0,0.0,3.2,0.0
0.0,0.0,5.6,6.0,1.0,3.0,0.0,0.0,3.2,0.0
45.2,14.0,86.8,8.0,7.0,9.0,0.0,0.8,8.8,0.0
92.8,83.6,98.0,15.0,15.0,15.0,0.0,2.0,12.4,0.0
0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,2.4,0.0
3.2,2.0,50.0,8.0,9.0,6.0,0.0,0.0,6.4,0.0
52.4,54.8,90.0,11.0,14.0,13.0,8.8,0.0,11.2,0.0
0.0,0.0,0.4,8.0,4.0,9.0,0.0,0.0,3.6,0.0
7.6,18.8,80.0,16.0,12.0,17.0,0.0,0.0,9.2,0.0
59.2,89.2,97.2,20.0,30.0,23.0,0.0,0.0,11.6,0.0
0.0,0.0,0.8,24.0,7.0,20.0,0.0,0.8,16.8,0.0
2.4,8.4,46.0,42.0,20.0,36.0,0.0,2.8,24.0,0.0
56.8,82.4,100.0,52.0,34.0,51.0,0.0,6.4,33.6,0.0
0.0,0.0,0.0,8.0,7.0,6.0,0.0,0.4,8.8,0.0
0.0,1.6,6.8,21.0,21.0,21.0,0.0,1.6,16.8,0.0
10.0,58.0,82.8,35.0,32.0,32.0,18.4,2.4,23.2,0.0
0.0,0.0,0.0,20.0,29.0,27.0,0.0,0.0,14.4,0.0
0.0,56.8,30.8,37.0,47.0,49.0,0.0,0.4,26.4,0.0
20.0,97.6,98.0,47.0,65.0,57.0,0.8,1.6,37.2,0.0
