M1_cf_face_right,M1_cf_lowerex_right,M1_cf_upperex_right,R_M1_hdp_face_right,R_M1_hdp_lowerex_right,R_M1_hdp_upperex_right,cerebellothalamic_right,gpe2stn_ass_right,gpe2stn_sm_right,medial_lemniscus_right
0.0,13.2,4.4,8.0,7.0,10.0,0.0,0.0,5.6,0.0
9.2,79.2,74.8,34.0,35.0,35.0,11.2,9.2,23.2,0.0
43.2,98.0,96.0,51.0,54.0,57.0,44.0,20.0,39.6,0.0
0.0,4.8,27.6,29.0,23.0,23.0,0.0,6.0,17.6,0.0
26.4,54.8,90.4,55.0,58.0,55.0,16.0,22.0,37.6,0.0
58.0,88.8,98.4,71.0,70.0,72.0,60.0,35.6,56.4,0.0
0.0,0.0,0.0,27.0,38.0,32.0,27.2,2.0,22.4,0.0
0.0,8.8,3.6,60.0,58.0,68.0,79.2,16.4,52.0,0.0
0.4,44.4,44.8,74.0,65.0,76.0,89.6,32.0,66.8,0.0
0.0,25.6,7.6,31.0,44.0,37.0,0.8,0.0,18.0,0.0
0.4,85.6,69.2,59.0,58.0,65.0,22.4,3.2,44.8,0.0
8.8,98.4,95.2,70.0,64.0,71.0,60.0,16.8,61.2,0.0
1.2,0.8,40.4,51.0,50.0,48.0,0.0,6.0,36.8,0.0
46.8,28.8,94.0,76.0,69.0,72.0,22.4,21.6,51.6,0.0
84.8,71.6,98.8,80.0,73.0,81.0,68.0,32.4,58.8,0.0
0.0,0.0,0.0,44.0,53.0,50.0,40.8,2.8,32.8,0.0
0.0,5.6,28.4,66.0,69.0,72.0,90.4,16.4,58.0,0.0
20.0,32.0,74.4,77.0,73.0,80.0,98.4,25.6,65.2,0.0
0.0,16.0,25.6,53.0,63.0,60.0,0.0,0.0,33.6,0.0
5.6,73.6,89.2,65.0,73.0,75.0,36.8,4.4,58.0,0.0
34.4,95.6,98.4,70.0,74.0,77.0,76.8,13.2,67.6,0.0
0.0,0.8,40.0,63.0,45.0,67.0,4.0,2.0,41.6,0.0
32.0,31.6,94.0,71.0,69.0,79.0,30.4,8.0,55.6,0.0
78.4,74.4,98.8,75.0,72.0,82.0,83.2,14.0,64.0,0.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0
42.8,77.2,91.2,2.0,1.0,3.0,0.0,0.0,1.2,0.0
88.8,98.0,97.6,3.0,2.0,5.0,0.0,0.0,3.2,0.0
0.0,0.0,6.0,6.0,1.0,2.0,0.0,0.0,3.2,0.0
48.8,13.6,86.8,8.0,6.0,11.0,0.0,0.8,8.4,0.0
93.6,85.2,98.0,15.0,14.0,15.0,0.0,2.0,12.0,0.0
0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,2.8,0.0
2.4,2.0,47.2,8.0,10.0,6.0,0.0,0.0,6.4,0.0
52.4,56.4,90.0,11.0,14.0,12.0,8.8,0.0,11.2,0.0
0.0,0.0,0.8,8.0,5.0,9.0,0.0,0.0,4.0,0.0
7.2,18.8,79.6,17.0,11.0,18.0,0.0,0.0,9.6,0.0
59.6,91.2,97.2,20.0,30.0,22.0,0.0,0.0,12.0,0.0
0.0,0.0,0.8,24.0,7.0,20.0,0.0,0.8,16.0,0.0
2.8,9.6,50.8,43.0,21.0,36.0,0.0,2.4,22.8,0.0
64.0,83.6,100.0,52.0,34.0,50.0,0.0,7.2,32.8,0.0
0.0,0.0,0.0,8.0,7.0,6.0,0.0,0.4,8.8,0.0
0.0,1.6,6.8,21.0,20.0,20.0,0.0,1.6,17.2,0.0
10.4,61.2,82.8,36.0,33.0,33.0,17.6,2.0,22.8,0.0
0.0,0.0,0.0,20.0,30.0,28.0,0.0,0.0,14.8,0.0
0.0,58.4,31.2,36.0,48.0,49.0,0.0,0.4,27.2,0.0
21.6,98.0,97.6,47.0,65.0,56.0,0.8,1.6,36.4,0.0
0.0,0.0,0.4,46.0,30.0,52.0,0.0,0.0,26.4,0.0
6.4,48.8,75.2,60.0,36.0,66.0,0.8,4.0,47.6,0.0
72.4,92.0,99.6,70.0,51.0,73.0,5.6,6.0,56.4,0.0
76.8,66.4,98.4,79.0,72.0,82.0,68.8,19.2,67.2,0.0
5.6,70.8,70.0,40.0,26.0,39.0,4.0,2.0,33.6,0.0
99.2,100.0,100.0,63.0,70.0,74.0,74.4,3.6,46.8,1.6
0.0,0.0,0.0,52.0,48.0,50.0,20.0,5.2,33.2,0.0
93.2,78.4,100.0,79.0,73.0,82.0,80.8,24.4,69.2,0.0
90.0,98.8,100.0,57.0,58.0,59.0,27.2,1.6,34.4,0.0
0.0,0.0,0.4,31.0,13.0,33.0,0.0,2.4,23.6,0.0
28.0,97.6,92.0,77.0,60.0,76.0,36.8,20.8,59.6,0.0
98.8,100.0,99.6,58.0,39.0,59.0,1.6,1.6,39.6,0.0
98.8,100.0,100.0,61.0,47.0,66.0,4.0,2.0,42.0,0.0
0.8,24.0,60.8,50.0,36.0,46.0,0.0,8.4,42.4,0.0
99.2,100.0,100.0,74.0,68.0,78.0,88.0,12.0,68.0,0.0
70.8,98.4,100.0,59.0,59.0,64.0,76.0,17.2,44.8,0.0
97.6,89.6,100.0,80.0,73.0,82.0,98.4,42.0,69.2,0.0
99.6,99.6,100.0,78.0,74.0,82.0,99.2,20.8,72.4,0.0
99.6,97.6,100.0,80.0,74.0,82.0,99.2,51.6,72.0,0.0
99.2,98.4,100.0,71.0,63.0,76.0,56.8,20.8,62.8,0.0
59.2,86.8,94.8,19.0,9.0,12.0,0.0,0.4,14.8,0.0
99.6,100.0,100.0,57.0,60.0,63.0,63.2,6.4,39.6,0.0
0.0,0.0,0.0,35.0,49.0,44.0,30.4,4.4,26.4,0.0
97.6,100.0,100.0,71.0,55.0,73.0,92.8,49.6,62.4,0.0
37.2,40.0,94.0,65.0,64.0,68.0,60.8,18.0,54.4,0.0
70.4,95.2,98.8,42.0,47.0,45.0,7.2,1.6,28.0,0.0
0.0,6.4,2.0,36.0,29.0,40.0,0.0,1.6,31.2,0.0
92.0,95.6,100.0,62.0,58.0,70.0,20.0,5.6,51.6,0.0
99.2,100.0,100.0,74.0,68.0,78.0,88.8,11.6,68.0,0.0
61.6,74.0,97.2,78.0,74.0,82.0,84.8,25.2,64.8,0.0
100.0,99.6,100.0,67.0,60.0,73.0,54.4,7.2,54.0,0.0
11.6,61.2,90.0,64.0,71.0,73.0,40.0,2.0,55.6,0.0
97.2,97.6,100.0,71.0,61.0,74.0,30.4,8.8,58.0,0.0
99.6,100.0,100.0,66.0,59.0,71.0,49.6,4.4,49.2,0.0
62.8,96.8,98.4,59.0,65.0,63.0,77.6,24.8,56.4,0.0
42.4,70.8,96.0,61.0,49.0,69.0,6.4,4.0,47.6,0.0
64.0,76.8,98.8,74.0,67.0,80.0,89.6,10.4,63.6,0.0
78.0,99.6,100.0,71.0,63.0,74.0,79.2,28.4,63.2,0.0
99.6,99.6,100.0,80.0,74.0,82.0,98.4,32.0,70.4,0.0
46.0,92.0,95.6,12.0,11.0,16.0,0.0,0.0,10.0,0.0
40.4,85.6,98.0,71.0,67.0,71.0,89.6,30.0,61.2,0.0
96.4,98.4,100.0,80.0,74.0,82.0,98.4,34.4,71.2,0.0
66.4,99.6,98.4,60.0,63.0,61.0,64.0,30.0,52.8,0.0
98.8,100.0,99.6,24.0,33.0,22.0,75.2,0.8,17.6,0.0
54.8,67.2,98.0,75.0,69.0,80.0,56.8,8.0,68.8,0.0
9.2,84.4,86.4,61.0,39.0,56.0,34.4,2.8,43.2,0.0
25.2,55.2,92.0,63.0,64.0,73.0,56.8,15.6,59.6,0.0
45.2,91.2,95.6,72.0,74.0,71.0,60.0,26.4,63.6,0.0
1.6,63.6,63.6,58.0,71.0,71.0,80.0,1.2,50.0,0.0
100.0,100.0,100.0,80.0,74.0,82.0,100.0,41.2,74.0,0.0
41.6,94.8,99.2,56.0,60.0,63.0,67.2,6.8,39.6,0.0
21.2,81.6,90.0,67.0,57.0,72.0,81.6,20.0,60.0,0.0
67.2,71.2,98.8,75.0,70.0,80.0,72.8,10.4,67.2,0.0
84.4,100.0,100.0,57.0,45.0,60.0,80.0,32.8,50.0,0.0
24.0,89.2,87.6,71.0,70.0,72.0,68.8,35.6,51.6,0.0
0.8,9.2,30.8,26.0,30.0,32.0,0.0,0.0,19.6,0.0
89.6,99.2,100.0,79.0,74.0,80.0,92.8,28.0,70.8,0.0
