M1_cf_face_right,M1_cf_lowerex_right,M1_cf_upperex_right,R_M1_hdp_face_right,R_M1_hdp_lowerex_right,R_M1_hdp_upperex_right,cerebellothalamic_right,gpe2stn_ass_right,gpe2stn_sm_right,medial_lemniscus_right
0.0,13.2,4.4,8.0,7.0,10.0,0.0,0.0,5.6,0.0
7.2,80.4,73.6,34.0,34.0,35.0,11.2,9.2,23.2,0.0
41.6,98.8,95.6,50.0,53.0,57.0,43.2,20.0,39.6,0.0
0.0,4.8,27.6,29.0,23.0,23.0,0.0,5.6,17.6,0.0
26.8,53.6,90.4,55.0,58.0,55.0,15.2,22.0,37.6,0.0
57.6,88.8,98.4,70.0,68.0,72.0,60.0,35.6,56.0,0.0
0.0,0.0,0.0,27.0,38.0,31.0,27.2,2.0,22.4,0.0
0.0,8.4,3.6,60.0,58.0,68.0,79.2,16.4,52.0,0.0
0.0,42.8,43.2,74.0,65.0,76.0,88.8,32.0,66.8,0.0
0.0,24.8,6.8,31.0,43.0,37.0,0.8,0.0,18.0,0.0
0.4,84.4,67.6,59.0,58.0,65.0,21.6,3.2,44.8,0.0
8.8,98.8,95.6,69.0,64.0,71.0,58.4,16.0,60.8,0.0
0.8,0.8,39.6,51.0,50.0,48.0,0.0,6.0,36.8,0.0
47.6,27.2,93.6,76.0,69.0,72.0,21.6,21.2,51.6,0.0
84.8,68.4,98.8,80.0,73.0,81.0,68.0,32.4,58.8,0.0
0.0,0.0,0.0,44.0,53.0,50.0,40.8,2.8,32.4,0.0
0.0,5.6,27.6,66.0,68.0,72.0,89.6,16.4,58.0,0.0
20.4,28.0,74.8,76.0,73.0,80.0,98.4,25.6,65.2,0.0
0.0,15.2,25.2,53.0,63.0,60.0,0.0,0.0,33.6,0.0
5.6,72.8,89.6,64.0,73.0,75.0,36.0,4.4,58.0,0.0
35.2,94.0,98.4,70.0,74.0,77.0,74.4,13.2,67.2,0.0
0.0,0.8,39.2,63.0,45.0,67.0,4.0,2.0,41.6,0.0
30.4,31.2,93.6,71.0,69.0,79.0,29.6,8.0,55.2,0.0
76.8,74.8,98.8,75.0,72.0,82.0,84.0,14.0,64.0,0.0
0.0,0.4,10.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0
40.4,75.2,90.0,2.0,1.0,3.0,0.0,0.0,1.2,0.0
86.0,96.8,97.2,3.0,2.0,5.0,0.0,0.0,3.2,0.0
0.0,0.0,6.0,6.0,1.0,2.0,0.0,0.0,3.2,0.0
46.4,12.4,86.4,8.0,6.0,11.0,0.0,0.8,8.4,0.0
92.0,80.0,97.2,15.0,15.0,15.0,0.0,2.0,12.0,0.0
0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,2.8,0.0
2.4,2.0,45.6,8.0,10.0,6.0,0.0,0.0,6.4,0.0
50.0,47.2,89.6,11.0,14.0,13.0,9.6,0.0,11.2,0.0
0.0,0.0,0.8,8.0,5.0,9.0,0.0,0.0,4.0,0.0
5.6,16.8,78.8,17.0,11.0,18.0,0.0,0.0,9.6,0.0
56.8,89.6,94.8,20.0,30.0,22.0,0.0,0.0,12.0,0.0
0.0,0.0,0.8,24.0,7.0,20.0,0.0,0.8,16.0,0.0
2.4,8.4,47.6,43.0,21.0,36.0,0.0,2.4,22.8,0.0
59.6,81.2,100.0,52.0,34.0,50.0,0.0,7.2,32.8,0.0
0.0,0.0,0.0,8.0,7.0,6.0,0.0,0.4,8.8,0.0
0.0,1.6,6.4,21.0,20.0,20.0,0.0,1.6,17.2,0.0
8.8,58.0,80.4,36.0,33.0,33.0,16.8,2.0,22.8,0.0
0.0,0.0,0.0,20.0,30.0,28.0,0.0,0.0,14.8,0.0
0.0,55.2,29.6,36.0,48.0,49.0,0.0,0.4,27.2,0.0
15.2,97.6,97.6,47.0,65.0,56.0,0.8,1.6,36.4,0.0
0.0,0.0,0.4,46.0,30.0,52.0,0.0,0.0,26.4,0.0
6.4,46.8,74.0,60.0,35.0,66.0,0.8,4.0,47.6,0.0
71.6,91.6,99.2,70.0,51.0,73.0,4.8,6.0,56.4,0.0
74.8,67.2,98.4,79.0,72.0,82.0,68.0,18.8,66.8,0.0
5.2,70.4,70.4,40.0,25.0,39.0,4.0,2.0,33.2,0.0
99.6,100.0,100.0,63.0,70.0,74.0,72.0,3.6,46.8,1.6
0.0,0.0,0.0,51.0,48.0,50.0,20.0,5.2,33.2,0.0
92.8,78.4,100.0,79.0,73.0,82.0,80.8,24.8,69.2,0.0
87.2,98.4,100.0,57.0,58.0,59.0,27.2,1.6,34.4,0.0
0.0,0.0,0.4,31.0,13.0,33.0,0.0,2.4,23.6,0.0
25.2,98.8,91.6,77.0,60.0,76.0,34.4,20.4,59.6,0.0
98.8,100.0,99.6,58.0,39.0,59.0,0.8,1.6,39.6,0.0
98.8,99.6,100.0,61.0,47.0,66.0,4.0,2.0,42.0,0.0
0.4,24.0,61.6,50.0,36.0,46.0,0.0,8.4,42.4,0.0
99.2,100.0,100.0,74.0,68.0,78.0,88.8,12.0,68.0,0.0
70.4,98.4,100.0,59.0,59.0,64.0,76.8,16.8,44.8,0.0
97.6,88.0,100.0,80.0,73.0,82.0,98.4,42.4,69.2,0.0
99.6,99.6,100.0,78.0,74.0,82.0,99.2,20.4,72.4,0.0
99.6,96.8,100.0,80.0,73.0,82.0,99.2,50.8,72.0,0.0
99.2,98.0,100.0,71.0,63.0,76.0,56.0,20.8,62.8,0.0
55.2,84.8,93.2,19.0,9.0,12.0,0.0,0.4,14.8,0.0
100.0,100.0,100.0,57.0,60.0,63.0,61.6,6.4,39.2,0.0
0.0,0.0,0.0,35.0,49.0,44.0,30.4,4.4,26.4,0.0
95.2,100.0,100.0,71.0,55.0,73.0,92.0,49.2,62.4,0.0
38.0,39.6,93.6,65.0,64.0,68.0,58.4,18.0,54.0,0.0
65.6,94.4,98.8,42.0,47.0,45.0,7.2,1.6,27.6,0.0
0.0,6.4,2.0,36.0,29.0,40.0,0.0,1.6,31.2,0.0
89.6,95.6,100.0,62.0,58.0,70.0,17.6,5.2,51.6,0.0
