M1_cf_face_right,M1_cf_lowerex_right,M1_cf_upperex_right,R_M1_hdp_face_right,R_M1_hdp_lowerex_right,R_M1_hdp_upperex_right,cerebellothalamic_right,gpe2stn_ass_right,gpe2stn_sm_right,medial_lemniscus_right
0.0,13.2,4.4,8.0,7.0,10.0,0.0,0.0,6.0,0.0
8.8,79.2,74.4,34.0,35.0,34.0,12.0,9.6,23.6,0.0
41.2,98.0,96.4,52.0,53.0,57.0,43.2,20.4,39.6,0.0
0.0,5.2,27.2,29.0,23.0,23.0,0.0,6.0,16.8,0.0
26.0,54.4,90.4,54.0,58.0,55.0,15.2,22.0,37.2,0.0
57.6,88.8,98.4,71.0,68.0,72.0,61.6,36.0,55.6,0.0
0.0,0.0,0.0,27.0,38.0,31.0,26.4,2.0,22.4,0.0
0.0,8.4,4.4,60.0,58.0,68.0,79.2,16.8,52.0,0.0
0.4,44.0,46.4,74.0,64.0,76.0,89.6,32.4,66.4,0.0
0.0,26.0,8.0,30.0,43.0,36.0,0.0,0.0,18.0,0.0
0.4,85.6,70.8,59.0,58.0,66.0,21.6,3.2,45.2,0.0
8.8,98.4,95.2,70.0,63.0,71.0,56.8,16.4,61.2,0.0
1.2,0.8,43.6,51.0,50.0,48.0,0.0,6.0,37.2,0.0
46.4,30.0,94.0,78.0,68.0,72.0,18.4,22.4,51.6,0.0
85.6,70.8,98.8,80.0,73.0,81.0,68.0,32.4,58.4,0.0
0.0,0.0,0.0,44.0,54.0,50.0,42.4,2.4,32.8,0.0
0.0,4.8,27.2,67.0,68.0,72.0,91.2,15.6,58.0,0.0
19.2,31.2,71.6,77.0,72.0,79.0,98.4,25.6,65.6,0.0
0.0,16.4,27.6,53.0,63.0,60.0,0.0,0.0,34.0,0.0
5.6,73.2,88.8,64.0,73.0,75.0,32.0,4.4,58.4,0.0
33.2,95.2,98.4,70.0,74.0,77.0,77.6,13.2,66.8,0.0
0.0,0.8,40.0,63.0,46.0,67.0,4.0,2.0,42.0,0.0
32.4,31.2,94.0,71.0,69.0,79.0,28.8,8.0,55.6,0.0
77.6,74.8,98.8,75.0,72.0,82.0,83.2,14.0,64.8,0.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0
40.8,76.0,91.6,2.0,1.0,3.0,0.0,0.0,1.2,0.0
89.2,98.0,97.6,3.0,2.0,5.0,0.0,0.0,2.8,0.0
0.0,0.0,6.0,6.0,1.0,2.0,0.0,0.0,3.2,0.0
46.8,13.6,86.8,8.0,7.0,8.0,0.0,0.8,8.4,0.0
93.6,82.8,98.0,15.0,14.0,15.0,0.0,2.0,12.0,0.0
0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,2.4,0.0
2.4,2.0,47.6,7.0,10.0,6.0,0.0,0.0,6.0,0.0
52.8,54.0,90.4,11.0,14.0,13.0,10.4,0.0,11.6,0.0
0.0,0.0,0.8,8.0,5.0,9.0,0.0,0.0,4.0,0.0
7.2,18.8,79.2,17.0,11.0,18.0,0.0,0.0,9.6,0.0
59.2,91.2,97.2,20.0,29.0,22.0,0.0,0.0,12.0,0.0
0.0,0.0,0.8,24.0,7.0,20.0,0.0,1.2,16.4,0.0
2.8,8.8,50.8,43.0,21.0,34.0,0.0,3.2,23.2,0.0
64.4,82.4,100.0,52.0,33.0,51.0,0.0,7.6,32.0,0.0
0.0,0.0,0.0,8.0,7.0,7.0,0.0,0.4,8.8,0.0
0.0,1.6,6.4,21.0,21.0,21.0,0.8,1.6,18.0,0.0
9.6,58.8,81.2,35.0,32.0,32.0,18.4,2.4,23.2,0.0
0.0,0.0,0.0,20.0,30.0,28.0,0.0,0.0,15.2,0.0
0.0,59.2,30.8,36.0,49.0,48.0,0.0,0.4,26.8,0.0
18.8,98.0,97.6,47.0,65.0,56.0,0.8,1.6,37.2,0.0
0.0,0.0,0.4,46.0,31.0,52.0,0.0,0.0,26.8,0.0
6.8,49.2,75.6,60.0,37.0,66.0,0.8,4.0,48.8,0.0
72.4,91.6,99.6,70.0,52.0,73.0,5.6,6.0,56.4,0.0
76.4,65.6,98.4,79.0,73.0,82.0,68.0,19.2,67.2,0.0
4.4,70.8,68.8,41.0,27.0,39.0,4.8,2.0,33.6,0.0
99.2,100.0,100.0,63.0,70.0,74.0,75.2,3.6,46.8,1.6
0.0,0.0,0.0,51.0,48.0,50.0,19.2,5.2,33.2,0.0
92.8,80.0,100.0,79.0,73.0,82.0,78.4,25.2,69.2,0.0
89.2,98.8,100.0,56.0,58.0,59.0,25.6,1.6,34.0,0.0
0.0,0.0,0.8,31.0,13.0,33.0,0.0,2.8,23.6,0.0
26.0,97.6,91.2,77.0,60.0,77.0,33.6,20.8,60.4,0.0
98.8,100.0,99.6,58.0,40.0,58.0,3.2,1.6,40.4,0.0
98.8,99.6,100.0,61.0,47.0,66.0,4.0,2.0,42.8,0.0
0.4,25.2,61.2,50.0,38.0,47.0,0.0,9.6,42.8,0.0
99.2,100.0,100.0,74.0,68.0,78.0,88.8,12.0,68.0,0.0
70.0,98.4,100.0,59.0,59.0,64.0,76.8,17.2,44.0,0.0
98.0,89.2,100.0,80.0,73.0,82.0,98.4,42.0,69.2,0.0
99.6,99.6,100.0,78.0,74.0,82.0,99.2,20.8,72.0,0.0
99.6,97.6,100.0,80.0,74.0,82.0,99.2,51.2,72.0,0.0
99.2,98.4,100.0,72.0,63.0,76.0,58.4,21.2,62.8,0.0
59.2,85.2,94.8,20.0,9.0,14.0,0.0,0.4,16.0,0.0
99.6,100.0,100.0,58.0,60.0,63.0,61.6,6.0,39.6,0.0
0.0,0.0,0.0,34.0,49.0,43.0,29.6,4.4,26.0,0.0
97.2,100.0,100.0,72.0,56.0,73.0,92.0,50.0,62.4,0.0
36.0,42.0,93.6,65.0,65.0,68.0,60.8,18.0,54.8,0.0
68.4,95.2,98.8,43.0,48.0,44.0,8.0,1.6,27.6,0.0
0.0,6.4,2.4,37.0,30.0,40.0,0.0,2.0,31.6,0.0
92.4,95.6,100.0,62.0,58.0,70.0,20.0,6.0,52.0,0.0
99.2,100.0,100.0,74.0,68.0,78.0,88.8,12.0,68.0,0.0
63.6,73.6,97.2,78.0,74.0,82.0,83.2,25.2,64.8,0.0
99.6,99.6,100.0,67.0,59.0,73.0,56.8,7.2,54.4,0.0
12.0,61.6,89.6,64.0,71.0,73.0,39.2,1.6,56.4,0.0
97.2,97.6,100.0,71.0,61.0,74.0,29.6,9.2,59.6,0.0
99.6,100.0,100.0,66.0,60.0,71.0,50.4,4.4,49.6,0.0
63.2,97.2,98.4,58.0,65.0,64.0,77.6,24.8,56.8,0.0
41.6,70.4,96.0,61.0,49.0,69.0,7.2,4.0,47.6,0.0
63.6,75.6,98.8,74.0,67.0,80.0,89.6,10.4,64.0,0.0
76.8,99.6,100.0,72.0,64.0,74.0,80.8,28.8,63.2,0.0
99.6,99.6,100.0,80.0,74.0,82.0,98.4,33.2,71.6,0.0
46.0,91.2,95.6,12.0,11.0,16.0,0.0,0.0,9.6,0.0
40.4,85.6,98.0,71.0,67.0,71.0,89.6,29.2,61.2,0.0
96.8,98.4,100.0,80.0,74.0,82.0,98.4,34.4,71.2,0.0
65.2,99.6,98.4,60.0,63.0,60.0,65.6,29.6,53.6,0.0
