M1_cf_face_right,M1_cf_lowerex_right,M1_cf_upperex_right,R_M1_hdp_face_right,R_M1_hdp_lowerex_right,R_M1_hdp_upperex_right,cerebellothalamic_right,gpe2stn_ass_right,gpe2stn_sm_right,medial_lemniscus_right
0.0,13.2,4.4,8.0,7.0,10.0,0.0,0.0,5.6,0.0
10.4,79.2,75.2,33.0,34.0,34.0,12.8,9.2,24.0,0.0
42.8,98.4,95.6,49.0,53.0,55.0,42.4,20.0,40.0,0.0
0.0,6.0,30.4,29.0,21.0,22.0,0.0,6.4,17.6,0.0
27.2,56.0,90.4,53.0,57.0,55.0,15.2,22.8,37.6,0.0
59.6,89.2,98.8,70.0,68.0,71.0,60.8,36.4,55.6,0.0
0.0,0.0,0.0,25.0,37.0,32.0,27.2,2.0,23.2,0.0
0.0,7.6,3.2,60.0,59.0,69.0,79.2,17.2,52.8,0.0
0.4,41.6,43.2,74.0,63.0,76.0,90.4,32.4,66.8,0.0
0.0,26.8,8.4,30.0,43.0,35.0,0.8,0.0,18.8,0.0
0.4,87.2,72.4,58.0,58.0,66.0,20.8,3.2,44.0,0.0
8.8,98.0,96.0,68.0,62.0,70.0,56.8,15.2,61.2,0.0
1.6,0.8,44.8,51.0,48.0,48.0,0.0,6.4,37.2,0.0
45.2,28.8,94.4,78.0,67.0,72.0,17.6,21.2,52.0,0.0
86.0,68.4,98.8,80.0,73.0,80.0,67.2,32.4,58.0,0.0
0.0,0.0,0.0,45.0,53.0,49.0,44.0,2.4,33.2,0.0
0.0,4.4,26.8,67.0,67.0,72.0,92.8,16.0,59.2,0.0
17.6,27.6,68.8,76.0,72.0,80.0,98.4,26.0,66.8,0.0
0.0,18.4,29.6,53.0,63.0,60.0,0.0,0.0,32.8,0.0
5.6,76.4,89.2,64.0,73.0,75.0,32.0,4.4,58.0,0.0
34.0,95.2,98.8,70.0,74.0,77.0,76.0,12.4,68.0,0.0
0.0,0.8,38.4,63.0,46.0,66.0,4.8,1.6,42.4,0.0
36.0,31.6,94.0,71.0,68.0,79.0,29.6,8.8,56.0,0.0
74.4,75.2,98.8,75.0,73.0,82.0,84.8,14.4,65.6,0.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0
42.4,78.4,91.6,2.0,1.0,3.0,0.0,0.0,1.2,0.0
87.2,97.2,97.6,3.0,2.0,5.0,0.0,0.0,2.8,0.0
0.0,0.0,6.0,6.0,1.0,3.0,0.0,0.0,3.2,0.0
49.2,14.0,86.8,8.0,7.0,8.0,0.0,1.2,10.0,0.0
93.2,83.6,98.4,14.0,13.0,15.0,0.0,2.0,12.4,0.0
0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.4,0.0
2.4,2.0,45.6,7.0,10.0,5.0,0.0,0.0,6.8,0.0
50.0,52.4,89.6,11.0,15.0,12.0,11.2,0.0,11.6,0.0
0.0,0.0,0.8,8.0,5.0,9.0,0.0,0.0,4.0,0.0
6.8,19.2,80.0,16.0,13.0,18.0,0.0,0.0,9.6,0.0
57.6,90.8,97.2,20.0,29.0,23.0,0.0,0.0,12.8,0.0
0.0,0.0,0.8,24.0,7.0,21.0,0.0,1.2,16.4,0.0
2.8,8.4,47.2,43.0,19.0,35.0,0.0,3.6,23.6,0.0
60.4,80.0,100.0,52.0,33.0,51.0,0.0,7.2,32.8,0.0
0.0,0.0,0.0,6.0,7.0,7.0,0.0,0.4,8.8,0.0
0.0,1.2,5.6,19.0,22.0,19.0,0.8,1.6,18.0,0.0
8.0,56.4,80.0,35.0,31.0,32.0,20.8,2.4,22.4,0.0
0.0,0.0,0.0,20.0,30.0,28.0,0.0,0.0,16.0,0.0
0.0,60.0,30.8,36.0,50.0,49.0,0.0,0.4,26.8,0.0
16.8,98.0,98.0,47.0,65.0,56.0,0.8,1.6,38.0,0.0
0.0,0.0,0.4,46.0,31.0,51.0,0.0,0.0,26.8,0.0
6.8,48.8,74.4,61.0,37.0,66.0,0.8,4.0,48.8,0.0
71.6,90.8,99.6,69.0,52.0,73.0,5.6,5.6,56.8,0.0
74.8,66.4,98.4,79.0,73.0,82.0,68.8,19.2,67.6,0.0
5.2,72.8,70.8,41.0,30.0,39.0,6.4,2.0,34.8,0.0
99.6,100.0,100.0,63.0,70.0,74.0,73.6,3.6,47.2,1.6
0.0,0.0,0.0,51.0,48.0,50.0,21.6,5.2,33.6,0.0
92.0,79.2,100.0,80.0,73.0,82.0,79.2,25.2,69.6,0.0
86.4,98.4,100.0,56.0,59.0,59.0,28.8,1.6,34.8,0.0
0.0,0.0,0.4,35.0,13.0,33.0,0.0,2.8,24.8,0.0
27.6,98.4,91.6,77.0,60.0,79.0,31.2,21.2,61.2,0.0
98.8,100.0,99.6,58.0,41.0,58.0,2.4,1.6,40.0,0.0
98.8,100.0,100.0,61.0,47.0,66.0,4.0,2.0,43.2,0.0
2.0,26.8,62.8,50.0,37.0,47.0,0.0,9.2,42.4,0.0
99.2,100.0,100.0,74.0,68.0,78.0,88.8,11.6,68.4,0.0
70.0,98.4,100.0,59.0,59.0,64.0,77.6,17.2,44.8,0.0
97.6,88.8,100.0,80.0,73.0,82.0,99.2,42.0,69.6,0.0
99.6,99.6,100.0,78.0,74.0,82.0,98.4,20.8,72.8,0.0
99.6,97.2,100.0,80.0,74.0,82.0,100.0,52.0,72.0,0.0
99.2,98.4,100.0,72.0,64.0,77.0,64.0,21.2,63.2,0.0
57.6,86.8,94.8,20.0,10.0,16.0,0.0,0.4,16.8,0.0
99.6,100.0,100.0,59.0,60.0,63.0,63.2,6.0,40.4,0.0
0.0,0.0,0.0,34.0,49.0,42.0,32.8,4.4,26.8,0.0
97.2,100.0,100.0,71.0,56.0,73.0,93.6,48.0,62.8,0.0
35.6,42.0,94.4,65.0,66.0,68.0,61.6,18.8,55.2,0.0
64.8,94.8,98.8,43.0,48.0,45.0,8.8,1.6,28.4,0.0
0.0,7.6,2.4,38.0,31.0,40.0,0.0,2.0,33.6,0.0
90.4,95.2,100.0,62.0,59.0,70.0,17.6,6.0,52.8,0.0
99.2,100.0,100.0,74.0,68.0,78.0,88.8,12.0,68.4,0.0
59.6,72.0,97.2,78.0,74.0,82.0,83.2,25.2,65.6,0.0
100.0,99.2,100.0,67.0,60.0,73.0,56.8,7.6,54.8,0.0
12.0,63.6,90.4,64.0,71.0,73.0,44.0,1.6,56.8,0.0
96.8,97.6,100.0,71.0,61.0,74.0,29.6,9.2,60.0,0.0
99.6,100.0,100.0,66.0,59.0,71.0,48.8,4.4,50.8,0.0
64.0,96.8,98.4,59.0,66.0,65.0,78.4,25.2,57.2,0.0
39.2,69.6,94.8,61.0,49.0,69.0,7.2,4.0,48.4,0.0
64.8,75.6,98.8,74.0,67.0,80.0,90.4,10.4,64.8,0.0
78.0,99.6,100.0,72.0,64.0,74.0,80.8,27.6,63.6,0.0
99.6,99.6,100.0,80.0,74.0,82.0,98.4,34.0,71.6,0.0
46.0,92.8,96.0,12.0,11.0,16.0,0.0,0.0,9.6,0.0
42.0,85.6,98.4,71.0,67.0,71.0,88.8,30.0,61.2,0.0
96.8,98.4,100.0,80.0,74.0,82.0,98.4,34.0,71.6,0.0
66.4,99.6,97.6,60.0,63.0,60.0,66.4,30.0,53.2,0.0
98.8,100.0,99.6,22.0,31.0,22.0,78.4,0.8,19.6,0.0
56.4,68.0,98.8,75.0,69.0,80.0,56.8,9.6,69.6,0.0
8.4,84.8,85.6,61.0,42.0,56.0,38.4,2.4,44.4,0.0
27.2,56.8,92.4,63.0,64.0,75.0,64.8,16.8,60.4,0.0
43.2,91.6,97.2,72.0,73.0,69.0,57.6,26.0,63.2,0.0
1.2,64.0,60.8,58.0,72.0,70.0,83.2,1.2,52.0,0.0
100.0,100.0,100.0,80.0,74.0,82.0,100.0,41.6,74.4,0.0
40.0,95.2,99.6,56.0,62.0,62.0,71.2,6.4,40.8,0.0
21.6,82.0,90.4,66.0,58.0,72.0,82.4,20.0,61.2,0.0
70.0,70.0,98.8,76.0,70.0,80.0,75.2,11.2,68.8,0.0
85.2,99.6,100.0,58.0,46.0,60.0,80.0,32.8,50.8,0.0
24.0,89.2,86.0,70.0,68.0,72.0,70.4,34.8,50.4,0.0
0.8,10.8,30.0,25.0,32.0,34.0,0.0,0.0,20.0,0.0
90.0,99.2,100.0,79.0,74.0,80.0,93.6,27.2,71.2,0.0
56.4,99.2,100.0,59.0,56.0,57.0,41.6,14.8,41.6,0.0
10.4,19.6,79.6,67.0,59.0,75.0,8.8,4.0,50.0,0.0
92.0,98.4,100.0,70.0,60.0,72.0,50.4,16.0,58.0,0.0
5.6,56.0,74.8,69.0,52.0,61.0,89.6,26.4,58.0,0.0
91.2,86.0,99.6,80.0,70.0,82.0,97.6,27.2,68.4,0.0
66.4,96.8,99.2,70.0,74.0,77.0,95.2,14.4,68.8,0.0
45.2,88.4,98.4,66.0,58.0,69.0,11.2,18.0,57.6,0.0
70.4,72.8,98.8,74.0,71.0,82.0,52.0,14.8,68.8,0.0
