M1_cf_face_right,M1_cf_lowerex_right,M1_cf_upperex_right,R_M1_hdp_face_right,R_M1_hdp_lowerex_right,R_M1_hdp_upperex_right,cerebellothalamic_right,gpe2stn_ass_right,gpe2stn_sm_right,medial_lemniscus_right
0.0,19.6,7.2,8.0,7.0,10.0,0.0,0.0,7.2,0.0
12.4,82.8,78.0,35.0,38.0,39.0,16.0,13.2,26.4,0.0
47.2,98.8,96.4,57.0,55.0,59.0,49.6,23.6,42.8,0.0
0.0,7.2,34.0,30.0,24.0,27.0,0.0,6.8,19.2,0.0
30.0,61.2,92.0,59.0,58.0,55.0,20.0,23.2,40.8,0.0
63.2,91.6,99.2,71.0,70.0,73.0,63.2,37.2,58.8,0.0
0.0,0.0,0.0,29.0,39.0,36.0,31.2,3.2,23.6,0.0
0.0,12.8,6.4,62.0,59.0,69.0,79.2,20.0,54.8,0.0
2.4,53.2,54.0,74.0,65.0,76.0,91.2,34.4,68.0,0.0
0.0,28.4,10.8,31.0,45.0,38.0,0.8,0.0,20.4,0.0
0.4,88.8,76.8,59.0,58.0,67.0,24.0,5.6,48.0,0.0
14.4,99.2,96.0,73.0,66.0,71.0,64.0,18.4,63.2,0.0
1.6,0.8,52.4,52.0,50.0,48.0,0.0,6.4,38.0,0.0
51.6,33.2,95.2,78.0,70.0,73.0,27.2,23.6,52.0,0.0
88.4,76.0,99.2,80.0,73.0,81.0,73.6,32.8,60.0,0.0
0.0,0.0,0.0,48.0,55.0,51.0,46.4,3.2,35.6,0.0
0.0,8.0,33.2,68.0,69.0,72.0,92.0,17.2,59.6,0.0
23.6,35.6,77.6,78.0,73.0,81.0,98.4,28.0,66.8,0.0
0.0,18.8,30.8,53.0,64.0,61.0,0.8,0.0,36.8,0.0
7.2,78.8,91.6,66.0,73.0,75.0,38.4,6.0,59.6,0.0
37.2,96.0,98.8,70.0,74.0,77.0,80.8,14.8,68.8,0.0
0.0,1.2,45.6,63.0,46.0,68.0,4.8,2.8,43.2,0.0
37.6,36.8,96.0,71.0,69.0,79.0,35.2,10.4,57.2,0.0
81.2,79.6,99.2,75.0,73.0,82.0,86.4,14.8,66.0,0.0
0.0,1.2,14.4,0.0,0.0,0.0,0.0,0.0,0.4,0.0
46.8,81.2,94.4,2.0,1.0,3.0,0.0,0.0,1.6,0.0
92.4,98.8,97.6,3.0,2.0,7.0,0.0,0.0,3.2,0.0
0.0,0.0,8.8,6.0,1.0,2.0,0.0,0.0,3.2,0.0
55.2,20.8,87.2,8.0,8.0,12.0,0.0,1.2,10.0,0.0
96.4,88.0,98.8,16.0,15.0,15.0,0.0,2.0,13.2,0.0
0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,2.8,0.0
5.6,2.4,58.8,8.0,11.0,8.0,0.0,0.0,6.8,0.0
64.0,66.0,93.2,12.0,14.0,16.0,12.0,0.0,12.0,0.0
0.0,0.0,1.6,9.0,5.0,9.0,0.0,0.0,4.0,0.0
12.0,26.8,83.6,17.0,16.0,18.0,0.0,0.0,10.0,0.0
66.4,94.4,98.0,20.0,32.0,24.0,0.0,0.0,12.8,0.0
0.0,0.0,1.2,24.0,7.0,23.0,0.0,1.6,17.2,0.0
6.8,14.8,66.0,44.0,22.0,36.0,0.0,3.6,25.2,0.0
79.2,88.8,100.0,52.0,35.0,52.0,0.0,8.0,34.0,0.0
0.0,0.0,0.0,9.0,8.0,7.0,0.0,0.4,8.8,0.0
0.0,4.4,8.8,22.0,24.0,21.0,0.8,1.6,18.0,0.0
22.8,72.0,91.2,36.0,36.0,33.0,22.4,2.4,24.0,0.0
0.0,0.0,0.0,20.0,30.0,28.0,0.0,0.0,16.0,0.0
0.0,71.2,42.0,38.0,53.0,50.0,0.0,0.4,28.0,0.0
32.8,99.2,99.2,48.0,65.0,57.0,0.8,1.6,38.8,0.0
0.0,0.0,1.2,46.0,31.0,52.0,0.0,0.0,28.8,0.0
10.4,58.8,82.8,62.0,40.0,67.0,1.6,4.0,51.2,0.0
83.6,92.8,100.0,70.0,55.0,73.0,11.2,6.4,58.4,0.0
80.0,71.6,98.4,79.0,73.0,82.0,76.0,20.8,68.4,0.0
5.6,74.8,74.4,41.0,29.0,41.0,6.4,2.0,35.2,0.0
100.0,100.0,100.0,64.0,70.0,75.0,84.8,4.0,48.0,4.0
0.0,0.0,0.4,53.0,49.0,50.0,24.8,5.6,36.4,0.0
94.8,82.4,100.0,80.0,73.0,82.0,85.6,26.4,69.6,0.0
95.2,99.6,100.0,57.0,62.0,63.0,33.6,1.6,36.4,0.0
0.0,0.0,1.2,37.0,14.0,33.0,0.0,2.8,24.4,0.0
32.0,98.8,94.8,77.0,60.0,79.0,40.8,24.0,62.0,0.0
98.8,100.0,99.6,58.0,41.0,59.0,5.6,2.0,41.2,0.0
98.8,100.0,100.0,61.0,47.0,66.0,4.8,2.0,43.6,0.0
2.8,29.2,67.2,51.0,38.0,48.0,0.0,10.0,43.6,0.0
99.2,100.0,100.0,74.0,68.0,78.0,89.6,12.4,68.4,0.0
80.4,99.2,100.0,60.0,59.0,65.0,80.0,18.0,46.4,0.0
98.8,91.6,100.0,80.0,73.0,82.0,99.2,43.6,69.6,0.0
99.6,100.0,100.0,78.0,74.0,82.0,99.2,22.0,72.8,0.0
100.0,98.4,100.0,80.0,74.0,82.0,100.0,53.6,72.4,0.0
99.2,98.4,100.0,72.0,64.0,77.0,63.2,21.2,64.8,0.0
64.4,88.8,96.4,20.0,9.0,14.0,0.0,0.4,17.2,0.0
99.6,100.0,100.0,59.0,64.0,64.0,74.4,6.8,43.2,0.8
0.0,0.0,0.0,38.0,51.0,48.0,37.6,4.8,30.0,0.0
98.0,100.0,100.0,73.0,58.0,73.0,95.2,51.2,62.8,0.0
40.8,47.2,95.6,65.0,67.0,69.0,64.8,19.6,55.6,0.0
80.0,97.2,99.6,44.0,51.0,46.0,9.6,2.4,28.4,0.0
0.0,8.4,3.2,38.0,31.0,40.0,0.0,2.0,33.2,0.0
96.0,96.0,100.0,63.0,61.0,70.0,24.0,6.4,53.2,0.0
99.2,100.0,100.0,75.0,69.0,78.0,89.6,13.2,68.4,0.0
67.2,78.8,97.2,79.0,74.0,82.0,88.0,26.8,66.0,0.0
100.0,100.0,100.0,67.0,61.0,75.0,64.8,7.6,56.0,0.0
14.4,65.6,91.6,65.0,71.0,73.0,49.6,2.8,58.0,0.0
98.4,98.0,100.0,71.0,62.0,74.0,36.8,10.0,60.8,0.0
99.6,100.0,100.0,66.0,60.0,71.0,67.2,6.0,51.2,0.0
69.2,98.0,98.8,60.0,66.0,65.0,79.2,26.8,57.2,0.0
