M1_cf_face_right,M1_cf_lowerex_right,M1_cf_upperex_right,R_M1_hdp_face_right,R_M1_hdp_lowerex_right,R_M1_hdp_upperex_right,cerebellothalamic_right,gpe2stn_ass_right,gpe2stn_sm_right,medial_lemniscus_right
0.0,0.0,0.0,8.0,7.0,10.0,0.0,0.0,5.2,0.0
0.4,1.2,17.6,33.0,34.0,34.0,0.0,9.2,24.0,0.0
8.0,1.6,54.0,49.0,53.0,55.0,0.0,20.0,39.6,0.0
0.0,0.0,0.0,29.0,21.0,22.0,0.0,6.4,17.2,0.0
0.0,0.0,3.6,52.0,56.0,55.0,0.0,22.8,36.8,0.0
0.0,0.0,6.0,70.0,67.0,68.0,0.0,35.2,54.4,0.0
0.0,0.0,0.0,25.0,37.0,31.0,0.0,2.0,22.4,0.0
0.0,0.0,0.0,60.0,59.0,69.0,0.0,17.2,52.4,0.0
0.0,0.0,0.0,74.0,62.0,76.0,0.0,32.0,66.4,0.0
0.0,0.0,0.0,30.0,41.0,35.0,0.0,0.0,18.4,0.0
0.0,0.0,0.4,57.0,58.0,66.0,0.0,3.2,42.8,0.0
0.0,0.0,2.8,68.0,60.0,70.0,0.0,14.4,61.2,0.0
0.0,0.0,0.0,48.0,47.0,48.0,0.0,6.0,33.2,0.0
0.0,0.0,0.0,71.0,66.0,69.0,0.0,18.8,46.8,0.0
0.0,0.4,0.0,75.0,71.0,78.0,0.0,30.4,51.6,0.0
0.0,0.0,0.0,44.0,52.0,49.0,0.0,2.0,30.4,0.0
0.0,0.0,0.0,66.0,65.0,71.0,0.0,15.2,57.2,0.0
0.0,0.0,0.0,76.0,69.0,79.0,0.0,23.6,64.0,0.0
0.0,0.0,0.0,52.0,59.0,59.0,0.0,0.0,28.4,0.0
0.0,0.4,0.0,63.0,65.0,73.0,0.0,3.2,48.0,0.0
0.0,0.4,0.0,67.0,67.0,74.0,0.0,12.0,57.2,0.0
0.0,0.0,0.0,52.0,39.0,51.0,0.0,1.2,28.4,0.0
0.0,0.0,1.6,56.0,59.0,61.0,0.0,6.8,34.8,0.0
0.0,0.4,7.6,58.0,64.0,65.0,0.0,10.0,40.4,0.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.8,75.2,90.4,1.0,0.0,3.0,0.0,0.0,1.2,0.0
87.2,98.0,97.6,1.0,2.0,5.0,0.0,0.0,1.2,0.0
0.0,0.0,6.0,5.0,1.0,2.0,0.0,0.0,1.6,0.0
47.6,12.4,86.4,7.0,4.0,3.0,0.0,1.2,4.4,0.0
93.6,82.0,97.6,10.0,8.0,8.0,0.0,1.6,5.6,0.0
0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0
2.0,2.0,41.6,5.0,6.0,4.0,0.0,0.0,3.6,0.0
49.6,47.6,89.6,7.0,11.0,7.0,0.0,0.0,4.8,0.0
0.0,0.0,0.8,6.0,4.0,6.0,0.0,0.0,2.0,0.0
5.6,17.2,78.8,9.0,8.0,9.0,0.0,0.0,6.0,0.0
56.0,90.0,96.8,10.0,17.0,11.0,0.0,0.0,6.0,0.0
0.0,0.0,0.8,21.0,7.0,19.0,0.0,1.2,15.2,0.0
2.8,8.0,45.6,32.0,14.0,29.0,0.0,3.2,20.0,0.0
59.6,80.4,100.0,36.0,20.0,34.0,0.0,6.8,22.8,0.0
0.0,0.0,0.0,6.0,5.0,7.0,0.0,0.4,7.2,0.0
0.0,1.2,5.6,13.0,17.0,14.0,0.0,1.6,12.8,0.0
8.0,56.4,76.0,16.0,21.0,21.0,1.6,2.0,14.8,0.0
0.0,0.0,0.0,15.0,23.0,25.0,0.0,0.0,14.0,0.0
0.0,59.6,29.2,23.0,36.0,33.0,0.0,0.4,22.4,0.0
15.6,98.0,97.6,26.0,42.0,38.0,0.8,1.6,28.0,0.0
0.0,0.0,0.4,42.0,25.0,49.0,0.0,0.0,24.8,0.0
6.8,48.8,73.6,52.0,30.0,55.0,0.8,4.0,42.0,0.0
71.6,91.6,99.6,56.0,35.0,61.0,4.8,5.6,48.4,0.0
0.0,1.2,6.8,61.0,65.0,65.0,0.0,14.8,43.6,0.0
0.8,1.6,42.8,41.0,25.0,35.0,0.0,1.6,32.0,0.0
99.2,100.0,100.0,31.0,30.0,42.0,72.0,3.6,28.8,1.6
0.0,0.0,0.0,49.0,45.0,50.0,0.0,4.8,32.4,0.0
0.0,0.4,6.8,65.0,67.0,66.0,0.0,21.6,46.8,0.0
87.2,98.8,100.0,26.0,28.0,28.0,18.4,1.6,17.6,0.0
0.0,0.0,0.4,30.0,12.0,31.0,0.0,2.8,22.8,0.0
1.6,2.8,33.2,66.0,54.0,59.0,0.0,20.4,46.0,0.0
98.8,100.0,99.6,39.0,31.0,39.0,0.8,0.0,22.0,0.0
98.8,99.6,100.0,38.0,25.0,42.0,4.0,2.0,32.8,0.0
0.0,0.0,4.8,46.0,32.0,42.0,0.0,9.2,39.2,0.0
98.8,100.0,99.6,60.0,56.0,61.0,2.4,3.6,39.6,0.0
66.0,94.8,100.0,36.0,34.0,36.0,2.4,17.2,28.4,0.0
0.0,0.4,0.0,78.0,71.0,81.0,0.0,39.6,63.2,0.0
50.4,96.0,92.4,68.0,65.0,67.0,0.0,14.8,51.2,0.0
0.0,0.4,0.0,79.0,71.0,82.0,0.0,49.6,63.2,0.0
99.2,98.4,100.0,51.0,41.0,60.0,11.2,21.2,48.4,0.0
56.8,84.8,94.8,16.0,8.0,11.0,0.0,0.0,10.8,0.0
99.6,100.0,100.0,24.0,26.0,20.0,57.6,3.6,14.4,0.0
0.0,0.0,0.0,34.0,49.0,41.0,0.0,4.4,25.2,0.0
69.2,5.2,86.8,65.0,49.0,67.0,0.0,48.8,54.8,0.0
0.0,0.0,0.0,63.0,63.0,65.0,0.0,16.4,49.6,0.0
66.0,94.8,98.8,24.0,29.0,25.0,0.0,1.6,16.4,0.0
0.0,0.0,0.0,35.0,28.0,40.0,0.0,1.6,29.6,0.0
90.8,95.6,100.0,38.0,28.0,47.0,17.6,6.0,38.4,0.0
