roman,study_name,time,dofs,dice,vta_voxel_volume,ngs_vta_volume,imp,imp_rel_error,ngs_vta_volume_rel_error,vta_voxel_volume_rel_err,best_impedance,best_time,best_dofs,best_ngs_vta_volume,best_volume
\rom{1},default,0.4031558036804199,30481,0.9992164351851852,10.220703125,10.115009311695239,3227.4676851268755,8.463354524571919,12.396555078460285,14.157940663176266,3525.874985219172,93.34982395172119,1645127,8.999394425064263,8.953125
\rom{2},fine,0.44118261337280273,89689,0.9995868055555556,9.595703125,9.645309313676043,3351.941513724019,4.933058381942064,7.177315029251723,7.177137870855148,3525.874985219172,93.34982395172119,1645127,8.999394425064263,8.953125
\rom{3},very_fine,1.6319072246551514,558642,0.9997824074074074,9.2421875,9.375014402333802,3416.945389871984,3.089434418515456,4.173836144167626,3.2286212914485164,3525.874985219172,93.34982395172119,1645127,8.999394425064263,8.953125
\rom{4},edge_refinement,0.27034592628479004,31225,0.9995243055555556,9.619140625,9.675503719766077,3341.4983214483264,5.229245635303895,7.512831005814988,7.438917975567191,3525.874985219172,93.34982395172119,1645127,8.999394425064263,8.953125
\rom{5},fine_edge_refinement,0.27204036712646484,35691,0.9997222222222222,9.28515625,9.294985310820186,3437.64883479504,2.5022484005809886,3.284564180592761,3.7085514834205933,3525.874985219172,93.34982395172119,1645127,8.999394425064263,8.953125
\rom{6},very_fine_edge_refinement,0.363231897354126,41881,0.9998287037037037,9.08984375,9.155452703626136,3471.9504513965526,1.5293943786627817,1.7340975535779748,1.5270506108202444,3525.874985219172,93.34982395172119,1645127,8.999394425064263,8.953125
\rom{7},edge_voxel_refinement,0.3311605453491211,35885,0.9997592592592592,9.25390625,9.299882618800252,3434.585176060498,2.589139136848872,3.3389823752929124,3.3595113438045376,3525.874985219172,93.34982395172119,1645127,8.999394425064263,8.953125
\rom{8},material_refinement,12.802948236465454,3576355,0.9997835648148148,9.240234375,9.372717714296137,3418.561369959625,3.043602388326763,4.148315671020357,3.2068062827225132,3525.874985219172,93.34982395172119,1645127,8.999394425064263,8.953125
\rom{9},edge_single_material_refinement,0.5995728969573975,87369,0.999730324074074,9.271484375,9.287592772049907,3443.2035212683804,2.344707747647281,3.202419333716283,3.555846422338569,3525.874985219172,93.34982395172119,1645127,8.999394425064263,8.953125
\rom{10},edge_double_material_refinement,1.8020598888397217,341038,0.9997326388888889,9.263671875,9.280313478170717,3444.940295694855,2.2954497781005587,3.12153284807769,3.468586387434555,3525.874985219172,93.34982395172119,1645127,8.999394425064263,8.953125
\rom{11},fine_edge_single_material_refinement,0.8297162055969238,93201,0.9998310185185185,9.08203125,9.144555279745115,3476.0792967492857,1.4122930812531544,1.6130069182940006,1.4397905759162304,3525.874985219172,93.34982395172119,1645127,8.999394425064263,8.953125
\rom{12},fine_edge_double_material_refinement,1.8289401531219482,347139,0.9998287037037037,9.078125,9.141641535408079,3477.832674342122,1.3625642167815915,1.580629802685856,1.3961605584642234,3525.874985219172,93.34982395172119,1645127,8.999394425064263,8.953125
